Icelandic,English
greiðsluhæfi,liquidity
virðismat eigna,value vs. cost
sanngjörnu matsvirði,fair value
lausafjármunir,current assets
fastafjármunir,non-current assets
heildareignir,total assets
rekstrarreikningur,income statement
ófjárhagslegir liðir,non-cash items
jaðarskattur,marginal tax
raðir,installments
ein greiðsla,lump sum
tímavirði peninga,time value of money
tímavirði peninga,TVM
framtíðarvirði,future value
framtíðarvirði,FV
framvirði,future value
vaxtastig,interest rate
ábyggilegir,reliable
ábyggilegir,trustworthy
fela í sér,includes
fela í sér, encompasses
hreint núvirði,net present value
hreint núvirði,NPV
ójafna greiðsluröð,unequal payment schedule
afvöxtun,discounting
ávöxtunar,compounding
